Trinkglas; o copo
Schreibtisch; o escritório
Tisch; a mesa
Flasche; a garrafa
Tür; a porta
Badezimmer; o banheiro
Küche; a cozinha
Schlafzimmer; o quarto
Zimmer, Raum; a sala
Fenster; a janela
Balkon; a varanda
Garage; a garagem
Mauer; o muro
Decke; o teto
Boden; o chão
Arbeitszimmer; o escritório
Esszimmer; a copa
Computer; o computador
Stuhl; a cadeira
Etui; o estojo
Mapper, Ordner; a pasta
Bleistift; o lápis
Radiergummi; a borracha
Buch; o livro
Wand; a parede
Pflanze; a planta
Teppich; o carpete

Katze; a gata
Kater; o gato
Hund; o cão
Pferd; o cavalo
Kuh; a vaca
